u,v,l0,L,a,classes
1,2,0.6,25.9,1.0,"EV,NEV"
1,3,0.4,23.403,1.0,"EV,NEV"
2,1,0.6,25.9,1.0,"EV,NEV"
2,6,0.5,4.958,1.0,"EV,NEV"
3,1,0.4,23.403,1.0,"EV,NEV"
3,4,0.4,17.111,1.0,"EV,NEV"
3,12,0.4,23.403,1.0,"EV,NEV"
4,3,0.4,17.111,1.0,"EV,NEV"
4,5,0.2,17.783,1.0,"EV,NEV"
4,11,0.6,4.909,1.0,"EV,NEV"
5,4,0.2,17.783,1.0,"EV,NEV"
5,6,0.4,4.948,1.0,"EV,NEV"
5,9,0.5,10.0,1.0,"EV,NEV"
6,2,0.5,4.958,1.0,"EV,NEV"
6,5,0.4,4.948,1.0,"EV,NEV"
6,8,0.2,4.899,1.0,"EV,NEV"
7,8,0.3,7.842,1.0,"EV,NEV"
7,18,0.2,23.403,1.0,"EV,NEV"
8,6,0.2,4.899,1.0,"EV,NEV"
8,7,0.3,7.842,1.0,"EV,NEV"
8,9,1.0,5.05,1.0,"EV,NEV"
8,16,0.5,5.046,1.0,"EV,NEV"
9,5,0.5,10.0,1.0,"EV,NEV"
9,8,1.0,5.05,1.0,"EV,NEV"
9,10,0.3,13.916,1.0,"EV,NEV"
10,9,0.3,13.916,1.0,"EV,NEV"
10,11,0.5,10.0,1.0,"EV,NEV"
10,15,0.6,13.512,1.0,"EV,NEV"
10,16,0.4,4.855,1.0,"EV,NEV"
10,17,0.8,4.994,1.0,"EV,NEV"
11,4,0.6,4.909,1.0,"EV,NEV"
11,10,0.5,10.0,1.0,"EV,NEV"
11,12,0.6,4.909,1.0,"EV,NEV"
11,14,0.4,4.877,1.0,"EV,NEV"
12,3,0.4,23.403,1.0,"EV,NEV"
12,11,0.6,4.909,1.0,"EV,NEV"
12,13,0.3,25.9,1.0,"EV,NEV"
13,12,0.3,25.9,1.0,"EV,NEV"
13,24,0.4,5.091,1.0,"EV,NEV"
14,11,0.4,4.877,1.0,"EV,NEV"
14,15,0.5,5.128,1.0,"EV,NEV"
14,23,0.4,4.925,1.0,"EV,NEV"
15,10,0.6,13.512,1.0,"EV,NEV"
15,14,0.5,5.128,1.0,"EV,NEV"
15,19,0.3,14.565,1.0,"EV,NEV"
15,22,0.3,9.599,1.0,"EV,NEV"
16,8,0.5,5.046,1.0,"EV,NEV"
16,10,0.4,4.855,1.0,"EV,NEV"
16,17,0.2,5.23,1.0,"EV,NEV"
16,18,0.3,19.68,1.0,"EV,NEV"
17,10,0.8,4.994,1.0,"EV,NEV"
17,16,0.2,5.23,1.0,"EV,NEV"
17,19,0.2,4.824,1.0,"EV,NEV"
18,7,0.2,23.403,1.0,"EV,NEV"
18,16,0.3,19.68,1.0,"EV,NEV"
18,20,0.4,23.403,1.0,"EV,NEV"
19,15,0.3,14.565,1.0,"EV,NEV"
19,17,0.2,4.824,1.0,"EV,NEV"
19,20,0.4,5.003,1.0,"EV,NEV"
20,18,0.4,23.403,1.0,"EV,NEV"
20,19,0.4,5.003,1.0,"EV,NEV"
20,21,0.6,5.06,1.0,"EV,NEV"
20,22,0.5,5.076,1.0,"EV,NEV"
21,20,0.6,5.06,1.0,"EV,NEV"
21,22,0.2,5.23,1.0,"EV,NEV"
21,24,0.3,4.885,1.0,"EV,NEV"
22,15,0.3,9.599,1.0,"EV,NEV"
22,20,0.5,5.076,1.0,"EV,NEV"
22,21,0.2,5.23,1.0,"EV,NEV"
22,23,0.4,5.0,1.0,"EV,NEV"
23,14,0.4,4.925,1.0,"EV,NEV"
23,22,0.4,5.0,1.0,"EV,NEV"
23,24,0.2,5.079,1.0,"EV,NEV"
24,13,0.4,5.091,1.0,"EV,NEV"
24,21,0.3,4.885,1.0,"EV,NEV"
24,23,0.2,5.079,1.0,"EV,NEV"
